CLAVE ENTIDAD,NOMBRE ENTIDAD,CLAVE DISTRITO,NOMBRE DISTRITO,CLAVE MUNICIPIO,MUNICIPIO,SECCION,LISTA HOMBRES,LISTA MUJERES,LISTA NO BINARIO,LISTA NOMINAL,LISTA_18_HOMBRES,LISTA_18_MUJERES,LISTA_18_NOBINARIO,LISTA_19_HOMBRES,LISTA_19_MUJERES,LISTA_19_NOBINARIO,LISTA_20_24_HOMBRES,LISTA_20_24_MUJERES,LISTA_20_24_NOBINARIO,LISTA_25_29_HOMBRES,LISTA_25_29_MUJERES,LISTA_25_29_NOBINARIO,LISTA_30_34_HOMBRES,LISTA_30_34_MUJERES,LISTA_30_34_NOBINARIO,LISTA_35_39_HOMBRES,LISTA_35_39_MUJERES,LISTA_35_39_NOBINARIO,LISTA_40_44_HOMBRES,LISTA_40_44_MUJERES,LISTA_40_44_NOBINARIO,LISTA_45_49_HOMBRES,LISTA_45_49_MUJERES,LISTA_45_49_NOBINARIO,LISTA_50_54_HOMBRES,LISTA_50_54_MUJERES,LISTA_50_54_NOBINARIO,LISTA_55_59_HOMBRES,LISTA_55_59_MUJERES,LISTA_55_59_NOBINARIO,LISTA_60_64_HOMBRES,LISTA_60_64_MUJERES,LISTA_60_64_NOBINARIO,LISTA_65_Y_MAS_HOMBRES,LISTA_65_Y_MAS_MUJERES,LISTA_65_Y_MAS_NOBINARIO
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,182.0,1046,1015,0,2061,9.0,11.0,0.0,16.0,17.0,0.0,78.0,80.0,0.0,102.0,121.0,0.0,142.0,135.0,0.0,128.0,124.0,0.0,114.0,105.0,0.0,108.0,95.0,0.0,104.0,82.0,0.0,77.0,77.0,0.0,69.0,57.0,0.0,99.0,111.0,0.0
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,183.0,1056,1085,0,2141,14.0,10.0,0.0,21.0,23.0,0.0,122.0,124.0,0.0,132.0,134.0,0.0,110.0,116.0,0.0,130.0,127.0,0.0,110.0,117.0,0.0,90.0,92.0,0.0,112.0,115.0,0.0,65.0,68.0,0.0,50.0,62.0,0.0,100.0,97.0,0.0
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,184.0,982,981,0,1963,8.0,15.0,0.0,22.0,21.0,0.0,120.0,126.0,0.0,120.0,90.0,0.0,85.0,118.0,0.0,97.0,106.0,0.0,109.0,97.0,0.0,111.0,113.0,0.0,87.0,82.0,0.0,75.0,65.0,0.0,43.0,36.0,0.0,105.0,112.0,0.0
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,185.0,1228,1198,0,2426,24.0,19.0,0.0,26.0,28.0,0.0,152.0,150.0,0.0,145.0,136.0,0.0,136.0,155.0,0.0,160.0,115.0,0.0,121.0,140.0,0.0,113.0,105.0,0.0,106.0,98.0,0.0,76.0,83.0,0.0,50.0,56.0,0.0,119.0,113.0,0.0
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,186.0,525,465,0,990,10.0,9.0,0.0,9.0,11.0,0.0,56.0,52.0,0.0,65.0,46.0,0.0,50.0,59.0,0.0,72.0,58.0,0.0,76.0,59.0,0.0,52.0,36.0,0.0,29.0,31.0,0.0,21.0,30.0,0.0,29.0,34.0,0.0,56.0,40.0,0.0
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,187.0,966,943,0,1909,18.0,16.0,0.0,20.0,28.0,0.0,119.0,101.0,0.0,114.0,94.0,0.0,94.0,99.0,0.0,99.0,105.0,0.0,117.0,130.0,0.0,113.0,87.0,0.0,80.0,49.0,0.0,51.0,57.0,0.0,48.0,71.0,0.0,93.0,106.0,0.0
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,188.0,1079,1003,0,2082,21.0,17.0,0.0,20.0,19.0,0.0,156.0,128.0,0.0,112.0,129.0,0.0,110.0,105.0,0.0,117.0,135.0,0.0,130.0,114.0,0.0,122.0,109.0,0.0,90.0,66.0,0.0,55.0,51.0,0.0,42.0,49.0,0.0,104.0,81.0,0.0
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,189.0,1008,962,0,1970,12.0,15.0,0.0,28.0,21.0,0.0,121.0,109.0,0.0,131.0,134.0,0.0,121.0,102.0,0.0,107.0,97.0,0.0,116.0,104.0,0.0,97.0,96.0,0.0,77.0,84.0,0.0,46.0,47.0,0.0,44.0,47.0,0.0,108.0,106.0,0.0
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,190.0,897,868,0,1765,15.0,14.0,0.0,14.0,24.0,0.0,114.0,111.0,0.0,122.0,121.0,0.0,99.0,96.0,0.0,85.0,82.0,0.0,76.0,79.0,0.0,108.0,94.0,0.0,90.0,82.0,0.0,69.0,48.0,0.0,21.0,30.0,0.0,84.0,87.0,0.0
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,191.0,556,545,0,1101,4.0,9.0,0.0,9.0,7.0,0.0,35.0,34.0,0.0,71.0,60.0,0.0,71.0,62.0,0.0,61.0,58.0,0.0,47.0,49.0,0.0,62.0,53.0,0.0,57.0,47.0,0.0,44.0,29.0,0.0,30.0,27.0,0.0,65.0,110.0,0.0
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,192.0,809,769,0,1578,8.0,10.0,0.0,7.0,7.0,0.0,62.0,64.0,0.0,98.0,86.0,0.0,107.0,90.0,0.0,97.0,102.0,0.0,91.0,80.0,0.0,71.0,71.0,0.0,72.0,68.0,0.0,70.0,43.0,0.0,40.0,44.0,0.0,86.0,104.0,0.0
