Clave Entidad,Nombre Entidad,Clave Distrito,Nombre Distrito,Clave Municipio,Nombre Municipio,Seccion,Lista Hombres,Lista Mujeres,Lista No Binario,Lista Nominal
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,182.0,1046,1015,0,2061
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,183.0,1056,1085,0,2141
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,184.0,982,981,0,1963
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,185.0,1228,1198,0,2426
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,186.0,525,465,0,990
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,187.0,966,943,0,1909
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,188.0,1079,1003,0,2082
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,189.0,1008,962,0,1970
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,190.0,897,868,0,1765
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,191.0,556,545,0,1101
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,192.0,809,769,0,1578
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,193.0,810,790,0,1600
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,194.0,806,754,0,1560
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,195.0,8000,8046,0,16046
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,196.0,3296,3518,0,6814
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,197.0,1059,1051,0,2110
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,198.0,1210,1171,0,2381
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,199.0,1346,1435,0,2781
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,200.0,1866,1839,0,3705
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,201.0,1168,1175,0,2343
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,202.0,1181,1189,0,2370
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,2.0,COZUMEL,203.0,5751,5804,0,11555
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,6.0,LAZARO CARDENAS,284.0,914,938,0,1852
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,6.0,LAZARO CARDENAS,285.0,854,916,0,1770
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,6.0,LAZARO CARDENAS,286.0,1574,1574,0,3148
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,6.0,LAZARO CARDENAS,287.0,1412,1159,0,2571
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,6.0,LAZARO CARDENAS,288.0,1444,1349,0,2793
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,6.0,LAZARO CARDENAS,289.0,500,522,0,1022
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,6.0,LAZARO CARDENAS,290.0,1095,1093,0,2188
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,6.0,LAZARO CARDENAS,291.0,541,565,0,1106
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,6.0,LAZARO CARDENAS,292.0,765,795,0,1560
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,6.0,LAZARO CARDENAS,293.0,936,979,0,1915
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,6.0,LAZARO CARDENAS,294.0,527,534,0,1061
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,6.0,LAZARO CARDENAS,295.0,555,539,0,1094
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,6.0,LAZARO CARDENAS,296.0,696,699,0,1395
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,6.0,LAZARO CARDENAS,297.0,312,304,0,616
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,206.0,5748,4512,0,10260
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,668.0,1034,1038,0,2072
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,669.0,648,631,0,1279
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,670.0,399,375,0,774
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,671.0,400,400,0,800
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,672.0,698,631,0,1329
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,673.0,795,897,0,1692
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,674.0,1118,1303,0,2421
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,675.0,1472,1551,0,3023
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,676.0,511,495,0,1006
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,677.0,350,341,0,691
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,678.0,563,510,0,1073
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,679.0,517,497,0,1014
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,680.0,2324,2339,0,4663
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,681.0,3115,3443,0,6558
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,682.0,808,667,0,1475
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,683.0,727,673,0,1400
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,684.0,331,311,0,642
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,685.0,766,634,0,1400
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,686.0,694,539,0,1233
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,687.0,581,488,0,1069
23,QUINTANA ROO,1.0,SOLIDARIDAD                                       ,8.0,SOLIDARIDAD,688.0,549,448,0,997
