CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,CONV,NVA_ALIANZA,PSD,PRIMERO_MEXICO,SALVEMOS_MEXICO,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,1,10,531.0,772.0,279.0,123.0,48.0,36.0,50.0,9.0,151.0,8.0,3.0,129.0,2139.0,7300
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,12,18,640.0,1039.0,393.0,281.0,69.0,42.0,82.0,35.0,128.0,5.0,8.0,179.0,2901.0,12957
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,13,3,108.0,273.0,87.0,58.0,8.0,7.0,16.0,5.0,47.0,2.0,1.0,52.0,664.0,1925
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,14,3,107.0,218.0,83.0,53.0,20.0,4.0,16.0,3.0,28.0,1.0,0.0,39.0,572.0,2038
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,15,3,133.0,240.0,109.0,37.0,8.0,4.0,13.0,5.0,32.0,0.0,3.0,46.0,630.0,2140
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,16,6,288.0,412.0,173.0,76.0,21.0,16.0,42.0,13.0,40.0,2.0,2.0,69.0,1154.0,4497
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,17,14,657.0,721.0,276.0,207.0,49.0,33.0,96.0,26.0,74.0,5.0,2.0,140.0,2286.0,9939
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,21,2,121.0,187.0,29.0,39.0,14.0,8.0,10.0,2.0,19.0,1.0,2.0,25.0,457.0,1276
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,171,1,14.0,11.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,112
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,172,1,,,,,,,,,,,,,,500
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,177,4,217.0,467.0,93.0,23.0,10.0,10.0,13.0,4.0,120.0,0.0,0.0,44.0,1001.0,2267
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,178,2,134.0,259.0,53.0,12.0,13.0,1.0,6.0,3.0,66.0,0.0,0.0,23.0,570.0,1420
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,179,7,662.0,1005.0,78.0,76.0,29.0,11.0,18.0,12.0,61.0,1.0,6.0,85.0,2044.0,4559
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,180,2,89.0,217.0,26.0,22.0,8.0,2.0,3.0,4.0,11.0,0.0,1.0,34.0,417.0,926
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,181,6,275.0,358.0,138.0,106.0,17.0,15.0,28.0,11.0,44.0,0.0,1.0,66.0,1059.0,4140
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,182,3,401.0,587.0,14.0,16.0,4.0,0.0,3.0,8.0,18.0,1.0,2.0,42.0,1096.0,2015
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,183,4,536.0,637.0,17.0,10.0,4.0,0.0,1.0,3.0,18.0,0.0,1.0,33.0,1260.0,2295
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,184,3,587.0,548.0,18.0,9.0,5.0,2.0,9.0,0.0,25.0,0.0,0.0,28.0,1231.0,1992
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,185,4,683.0,674.0,21.0,11.0,2.0,2.0,7.0,2.0,29.0,0.0,0.0,34.0,1465.0,2319
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,186,2,329.0,337.0,7.0,5.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0,21.0,710.0,993
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,187,3,565.0,472.0,8.0,12.0,2.0,2.0,3.0,3.0,20.0,0.0,0.0,25.0,1112.0,1689
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,188,3,385.0,441.0,15.0,6.0,1.0,0.0,2.0,1.0,17.0,1.0,0.0,12.0,881.0,2080
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,189,3,536.0,656.0,14.0,6.0,5.0,0.0,8.0,3.0,26.0,0.0,0.0,37.0,1291.0,2052
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,190,3,492.0,501.0,22.0,3.0,0.0,5.0,3.0,1.0,24.0,0.0,0.0,18.0,1069.0,1775
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,191,2,238.0,428.0,9.0,7.0,3.0,3.0,0.0,1.0,25.0,1.0,1.0,26.0,742.0,1470
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,192,4,375.0,539.0,28.0,11.0,4.0,2.0,2.0,2.0,21.0,0.0,0.0,35.0,1019.0,1761
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,193,3,395.0,514.0,7.0,5.0,3.0,1.0,13.0,1.0,21.0,0.0,0.0,38.0,998.0,1759
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,194,3,446.0,479.0,20.0,10.0,2.0,1.0,4.0,3.0,19.0,0.0,2.0,24.0,1010.0,1730
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,195,6,1321.0,1233.0,35.0,17.0,7.0,6.0,8.0,3.0,40.0,0.0,0.0,70.0,2740.0,4271
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,196,8,1582.0,1623.0,54.0,30.0,8.0,4.0,20.0,14.0,55.0,0.0,2.0,102.0,3494.0,5490
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,197,4,522.0,720.0,20.0,14.0,4.0,2.0,2.0,1.0,24.0,1.0,1.0,37.0,1348.0,2315
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,198,4,464.0,695.0,18.0,19.0,4.0,6.0,3.0,3.0,20.0,0.0,0.0,59.0,1291.0,2500
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,199,4,668.0,690.0,30.0,10.0,3.0,4.0,8.0,0.0,25.0,1.0,1.0,52.0,1492.0,2497
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,200,5,839.0,868.0,29.0,15.0,6.0,3.0,5.0,3.0,30.0,0.0,1.0,57.0,1856.0,3251
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,201,4,675.0,810.0,15.0,10.0,3.0,2.0,2.0,0.0,34.0,0.0,0.0,28.0,1579.0,2369
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,202,4,736.0,751.0,18.0,8.0,1.0,1.0,3.0,2.0,16.0,0.0,1.0,36.0,1573.0,2427
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,203,12,2532.0,2392.0,71.0,46.0,8.0,7.0,32.0,12.0,93.0,0.0,2.0,137.0,5332.0,8616
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,205,17,706.0,1738.0,250.0,156.0,56.0,51.0,70.0,34.0,118.0,7.0,8.0,163.0,3357.0,11927
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,206,14,399.0,1259.0,181.0,95.0,26.0,24.0,47.0,21.0,73.0,1.0,2.0,106.0,2234.0,9242
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,207,20,913.0,1996.0,341.0,185.0,83.0,48.0,82.0,32.0,120.0,4.0,6.0,177.0,3987.0,13312
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,208,4,229.0,732.0,64.0,40.0,12.0,5.0,17.0,12.0,32.0,0.0,1.0,36.0,1180.0,2483
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,209,17,950.0,2845.0,326.0,133.0,77.0,15.0,67.0,15.0,100.0,3.0,1.0,155.0,4687.0,11582
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,210,5,229.0,700.0,113.0,22.0,14.0,5.0,7.0,1.0,60.0,2.0,0.0,31.0,1184.0,1874
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,211,6,533.0,983.0,29.0,6.0,9.0,2.0,9.0,1.0,44.0,0.0,0.0,16.0,1632.0,1927
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,212,1,4.0,13.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,27.0,58
