CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,PRI_PVEM,PRD_PT_MC,PRD_PT,PRD_MC,PT_MC,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,1,11,565.0,760.0,1113.0,210.0,101.0,54.0,132.0,280.0,282.0,101.0,15.0,5.0,2.0,143.0,3763.0,7516
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,13,3,156.0,267.0,268.0,46.0,24.0,7.0,39.0,67.0,76.0,26.0,9.0,1.0,1.0,35.0,1022.0,1960
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,14,4,310.0,313.0,429.0,74.0,33.0,28.0,62.0,110.0,126.0,25.0,6.0,2.0,1.0,59.0,1578.0,2985
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,15,4,233.0,264.0,358.0,49.0,28.0,18.0,55.0,99.0,93.0,31.0,1.0,2.0,0.0,44.0,1275.0,2432
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,16,9,644.0,656.0,927.0,126.0,77.0,59.0,129.0,190.0,270.0,61.0,11.0,3.0,1.0,115.0,3269.0,6062
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,17,20,1395.0,1421.0,2008.0,295.0,160.0,106.0,309.0,435.0,497.0,133.0,28.0,9.0,5.0,209.0,7010.0,14641
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,21,2,167.0,153.0,138.0,32.0,13.0,11.0,26.0,58.0,33.0,8.0,1.0,0.0,0.0,17.0,657.0,1177
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,171,1,6.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,70
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,172,1,45.0,68.0,68.0,48.0,12.0,6.0,3.0,30.0,20.0,9.0,0.0,0.0,19.0,17.0,345.0,727
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,177,4,181.0,567.0,237.0,52.0,33.0,16.0,36.0,173.0,70.0,36.0,3.0,1.0,0.0,58.0,1463.0,2530
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,178,3,121.0,314.0,164.0,28.0,16.0,11.0,25.0,105.0,43.0,26.0,5.0,0.0,0.0,27.0,885.0,1629
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,179,8,467.0,947.0,885.0,126.0,86.0,44.0,95.0,232.0,181.0,87.0,17.0,4.0,1.0,103.0,3275.0,5874
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,180,2,82.0,180.0,114.0,18.0,10.0,10.0,21.0,53.0,16.0,6.0,2.0,10.0,0.0,15.0,537.0,830
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,181,7,471.0,469.0,705.0,89.0,38.0,29.0,81.0,149.0,145.0,53.0,11.0,0.0,3.0,64.0,2307.0,4546
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,182,3,295.0,535.0,170.0,36.0,5.0,1.0,21.0,81.0,15.0,4.0,1.0,1.0,1.0,49.0,1215.0,2012
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,183,3,273.0,532.0,171.0,35.0,16.0,7.0,34.0,65.0,29.0,12.0,1.0,5.0,1.0,40.0,1221.0,2174
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,184,3,334.0,435.0,190.0,25.0,12.0,10.0,34.0,75.0,23.0,6.0,1.0,2.0,0.0,52.0,1199.0,1915
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,185,4,348.0,597.0,243.0,46.0,20.0,17.0,25.0,109.0,41.0,17.0,2.0,0.0,1.0,35.0,1501.0,2290
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,186,2,165.0,267.0,81.0,33.0,8.0,5.0,17.0,49.0,5.0,6.0,0.0,0.0,0.0,29.0,665.0,996
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,187,3,325.0,392.0,184.0,45.0,13.0,7.0,26.0,67.0,33.0,20.0,4.0,1.0,0.0,31.0,1148.0,1728
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,188,3,319.0,492.0,164.0,52.0,9.0,68.0,23.0,90.0,21.0,18.0,2.0,7.0,0.0,38.0,1303.0,1959
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,189,3,245.0,526.0,199.0,45.0,12.0,9.0,26.0,82.0,31.0,9.0,4.0,0.0,1.0,42.0,1231.0,1932
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,190,3,261.0,383.0,188.0,32.0,17.0,12.0,21.0,67.0,22.0,6.0,1.0,0.0,2.0,33.0,1045.0,1675
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,191,2,124.0,374.0,106.0,17.0,16.0,8.0,10.0,64.0,22.0,8.0,1.0,0.0,0.0,23.0,773.0,1332
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,192,4,308.0,544.0,209.0,47.0,16.0,11.0,27.0,74.0,37.0,5.0,1.0,0.0,2.0,74.0,1355.0,1643
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,193,3,199.0,511.0,152.0,30.0,12.0,8.0,28.0,59.0,26.0,10.0,3.0,0.0,2.0,30.0,1070.0,1690
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,194,3,239.0,392.0,184.0,27.0,18.0,12.0,20.0,67.0,21.0,8.0,1.0,1.0,0.0,37.0,1027.0,1688
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,195,8,1001.0,1420.0,671.0,135.0,52.0,31.0,77.0,226.0,88.0,32.0,7.0,2.0,2.0,121.0,3865.0,5897
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,196,9,973.0,1623.0,589.0,105.0,42.0,29.0,90.0,213.0,115.0,33.0,4.0,2.0,2.0,94.0,3914.0,6050
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,197,3,305.0,538.0,180.0,42.0,19.0,14.0,23.0,93.0,25.0,7.0,0.0,0.0,1.0,27.0,1274.0,2104
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,198,4,294.0,618.0,235.0,42.0,11.0,12.0,24.0,101.0,38.0,9.0,1.0,1.0,0.0,35.0,1421.0,2407
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,199,4,417.0,652.0,275.0,38.0,29.0,9.0,38.0,84.0,30.0,9.0,0.0,2.0,0.0,61.0,1644.0,2612
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,200,5,528.0,823.0,296.0,53.0,25.0,17.0,45.0,115.0,52.0,16.0,5.0,3.0,0.0,61.0,2039.0,3298
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,201,3,377.0,604.0,193.0,65.0,18.0,8.0,24.0,125.0,25.0,14.0,2.0,1.0,2.0,48.0,1506.0,2246
