CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PAN_NVA_ALIANZA,PRI_PVEM,PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,1,10,148.0,580.0,187.0,390.0,111.0,157.0,73.0,321.0,86.0,69.0,,108.0,0.0,1.0,169.0,2400.0,7232
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,13,3,45.0,229.0,55.0,101.0,50.0,44.0,22.0,115.0,24.0,30.0,,29.0,0.0,1.0,64.0,809.0,2107
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,14,5,101.0,212.0,58.0,126.0,54.0,89.0,39.0,181.0,45.0,48.0,,35.0,0.0,4.0,56.0,1048.0,3457
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,15,4,61.0,233.0,40.0,118.0,31.0,54.0,30.0,120.0,39.0,28.0,,20.0,0.0,1.0,70.0,845.0,2664
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,16,10,186.0,478.0,154.0,288.0,79.0,169.0,98.0,404.0,86.0,99.0,,77.0,0.0,2.0,125.0,2245.0,7160
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,21,2,41.0,105.0,13.0,47.0,10.0,36.0,14.0,37.0,21.0,16.0,,14.0,0.0,1.0,23.0,378.0,1079
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,171,1,0.0,8.0,1.0,2.0,1.0,0.0,1.0,7.0,0.0,0.0,,0.0,0.0,0.0,1.0,21.0,101
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,172,2,20.0,89.0,12.0,66.0,6.0,8.0,0.0,32.0,3.0,4.0,,26.0,0.0,0.0,24.0,290.0,949
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,177,4,74.0,533.0,79.0,71.0,25.0,24.0,36.0,100.0,25.0,24.0,,58.0,0.0,0.0,89.0,1138.0,2765
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,178,3,45.0,272.0,53.0,34.0,19.0,9.0,16.0,75.0,5.0,7.0,,26.0,0.0,0.0,32.0,593.0,1671
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,179,11,181.0,983.0,170.0,89.0,59.0,122.0,89.0,375.0,86.0,68.0,,59.0,0.0,4.0,144.0,2429.0,7570
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,180,2,16.0,137.0,12.0,14.0,4.0,16.0,12.0,51.0,11.0,6.0,,5.0,0.0,1.0,14.0,299.0,836
3,23,QUINTANA ROO,1,SOLIDARIDAD,1,BENITO JUAREZ,181,7,102.0,303.0,83.0,204.0,44.0,125.0,58.0,194.0,60.0,47.0,,42.0,0.0,1.0,78.0,1341.0,4779
3,23,QUINTANA ROO,1,SOLIDARIDAD,2,COZUMEL,182,3,139.0,415.0,23.0,20.0,7.0,13.0,18.0,93.0,15.0,22.0,,11.0,0.0,0.0,50.0,826.0,2002
3,23,QUINTANA ROO,1,SOLIDARIDAD,2,COZUMEL,183,3,129.0,421.0,31.0,17.0,9.0,16.0,28.0,115.0,15.0,43.0,,17.0,0.0,1.0,59.0,901.0,2050
3,23,QUINTANA ROO,1,SOLIDARIDAD,2,COZUMEL,184,3,171.0,345.0,27.0,32.0,7.0,10.0,27.0,117.0,15.0,29.0,,11.0,0.0,2.0,35.0,828.0,1868
3,23,QUINTANA ROO,1,SOLIDARIDAD,2,COZUMEL,185,3,191.0,469.0,21.0,22.0,17.0,14.0,31.0,142.0,20.0,33.0,,18.0,0.0,0.0,52.0,1030.0,2234
3,23,QUINTANA ROO,1,SOLIDARIDAD,2,COZUMEL,186,2,111.0,229.0,12.0,12.0,11.0,10.0,13.0,69.0,9.0,28.0,,8.0,0.0,0.0,33.0,545.0,960
3,23,QUINTANA ROO,1,SOLIDARIDAD,2,COZUMEL,187,3,164.0,318.0,24.0,23.0,25.0,19.0,24.0,128.0,23.0,15.0,,16.0,0.0,0.0,53.0,832.0,1717
