CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,1,BENITO JUAREZ,962,3,79.0,55.0,25.0,10.0,53.0,25.0,12.0,511.0,30.0,2.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,18.0,10.0,0.0,7.0,9.0,25.0,879.0,1574
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,182,3,279.0,333.0,21.0,37.0,37.0,47.0,13.0,399.0,21.0,3.0,1.0,1.0,0.0,5.0,7.0,0.0,0.0,4.0,5.0,3.0,5.0,4.0,50.0,1275.0,2116
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,183,3,190.0,299.0,16.0,28.0,43.0,59.0,12.0,444.0,23.0,3.0,1.0,1.0,1.0,5.0,9.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,30.0,1171.0,2117
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,184,3,237.0,262.0,31.0,27.0,42.0,49.0,18.0,441.0,18.0,6.0,2.0,0.0,3.0,5.0,4.0,6.0,3.0,4.0,5.0,0.0,0.0,0.0,64.0,1227.0,1919
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,185,4,229.0,395.0,35.0,58.0,38.0,59.0,17.0,496.0,20.0,3.0,0.0,3.0,1.0,3.0,18.0,2.0,1.0,7.0,5.0,1.0,3.0,0.0,52.0,1446.0,2308
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,186,2,125.0,217.0,14.0,17.0,13.0,33.0,8.0,197.0,13.0,3.0,1.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,682.0,980
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,187,3,179.0,282.0,28.0,30.0,38.0,47.0,11.0,424.0,17.0,1.0,3.0,0.0,0.0,4.0,12.0,2.0,0.0,7.0,5.0,1.0,6.0,1.0,68.0,1166.0,1821
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,188,3,191.0,249.0,18.0,41.0,39.0,49.0,22.0,402.0,24.0,1.0,4.0,1.0,0.0,1.0,7.0,0.0,0.0,4.0,7.0,0.0,3.0,1.0,65.0,1129.0,1929
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,189,3,188.0,290.0,30.0,22.0,42.0,36.0,15.0,453.0,21.0,3.0,3.0,1.0,0.0,4.0,7.0,1.0,0.0,4.0,2.0,0.0,2.0,1.0,42.0,1167.0,1920
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,190,3,143.0,235.0,17.0,30.0,32.0,45.0,11.0,388.0,15.0,1.0,1.0,1.0,0.0,2.0,5.0,1.0,0.0,6.0,10.0,0.0,3.0,0.0,65.0,1011.0,1658
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,191,2,138.0,184.0,15.0,15.0,32.0,31.0,5.0,248.0,18.0,3.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,32.0,732.0,1176
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,192,4,144.0,205.0,12.0,26.0,28.0,60.0,17.0,398.0,17.0,3.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,10.0,2.0,1.0,4.0,0.0,65.0,1000.0,1639
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,193,3,173.0,220.0,16.0,26.0,27.0,44.0,22.0,390.0,20.0,4.0,1.0,3.0,1.0,4.0,3.0,1.0,0.0,5.0,4.0,1.0,2.0,1.0,52.0,1020.0,1668
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,194,3,196.0,191.0,19.0,23.0,35.0,26.0,16.0,403.0,15.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,0.0,9.0,2.0,1.0,4.0,0.0,43.0,996.0,1565
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,195,15,1125.0,1254.0,147.0,204.0,207.0,275.0,105.0,2812.0,147.0,17.0,8.0,5.0,2.0,14.0,23.0,2.0,1.0,28.0,18.0,1.0,19.0,7.0,291.0,6712.0,11143
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,196,9,722.0,921.0,71.0,127.0,136.0,160.0,67.0,1514.0,84.0,15.0,2.0,3.0,0.0,14.0,16.0,2.0,0.0,18.0,12.0,0.0,11.0,9.0,174.0,4078.0,6710
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,197,3,239.0,249.0,20.0,28.0,41.0,38.0,17.0,484.0,20.0,5.0,0.0,2.0,0.0,5.0,8.0,0.0,0.0,7.0,4.0,0.0,2.0,1.0,73.0,1243.0,2093
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,198,4,235.0,304.0,22.0,41.0,52.0,66.0,17.0,540.0,35.0,0.0,2.0,1.0,0.0,3.0,6.0,0.0,0.0,7.0,2.0,0.0,3.0,4.0,77.0,1417.0,2451
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,199,4,360.0,317.0,36.0,50.0,64.0,73.0,24.0,597.0,45.0,9.0,0.0,2.0,0.0,6.0,3.0,2.0,0.0,4.0,4.0,0.0,1.0,4.0,78.0,1679.0,2831
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,200,5,393.0,389.0,44.0,58.0,63.0,63.0,25.0,839.0,42.0,5.0,2.0,3.0,2.0,9.0,7.0,2.0,0.0,9.0,5.0,1.0,11.0,2.0,100.0,2074.0,3555
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,201,4,307.0,353.0,31.0,42.0,46.0,117.0,18.0,540.0,33.0,5.0,2.0,1.0,0.0,2.0,7.0,0.0,0.0,9.0,6.0,0.0,2.0,2.0,70.0,1593.0,2314
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,202,4,283.0,365.0,36.0,57.0,45.0,87.0,19.0,517.0,29.0,4.0,2.0,1.0,0.0,3.0,13.0,0.0,0.0,5.0,4.0,1.0,3.0,1.0,68.0,1543.0,2340
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,2,COZUMEL,203,15,1160.0,1330.0,111.0,186.0,178.0,263.0,104.0,2447.0,133.0,15.0,8.0,3.0,0.0,21.0,18.0,2.0,1.0,23.0,18.0,7.0,10.0,4.0,270.0,6312.0,10787
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,4,ISLA MUJERES,252,2,134.0,223.0,17.0,12.0,19.0,15.0,6.0,242.0,4.0,4.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,36.0,723.0,1031
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,4,ISLA MUJERES,253,3,109.0,151.0,24.0,12.0,25.0,29.0,9.0,130.0,23.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,2.0,1.0,33.0,560.0,904
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,4,ISLA MUJERES,254,1,80.0,171.0,16.0,5.0,5.0,18.0,7.0,135.0,8.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,13.0,467.0,715
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,4,ISLA MUJERES,255,3,263.0,415.0,35.0,16.0,29.0,30.0,17.0,525.0,17.0,3.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,55.0,1418.0,2092
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,4,ISLA MUJERES,256,2,141.0,225.0,13.0,36.0,14.0,14.0,10.0,271.0,23.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,30.0,793.0,1323
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,4,ISLA MUJERES,257,2,164.0,321.0,23.0,17.0,30.0,23.0,8.0,342.0,16.0,3.0,5.0,2.0,1.0,1.0,6.0,1.0,0.0,3.0,5.0,1.0,0.0,0.0,39.0,1011.0,1498
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,4,ISLA MUJERES,258,6,478.0,752.0,77.0,57.0,38.0,63.0,27.0,917.0,65.0,10.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,5.0,5.0,1.0,3.0,12.0,107.0,2625.0,3821
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,4,ISLA MUJERES,259,2,159.0,279.0,22.0,20.0,19.0,35.0,6.0,327.0,12.0,1.0,22.0,1.0,0.0,4.0,5.0,0.0,11.0,6.0,5.0,0.0,0.0,1.0,37.0,972.0,1432
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,4,ISLA MUJERES,260,1,49.0,48.0,7.0,6.0,3.0,1.0,3.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,164.0,252
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,4,ISLA MUJERES,261,9,321.0,763.0,87.0,67.0,126.0,123.0,63.0,1661.0,128.0,14.0,1.0,2.0,2.0,5.0,17.0,5.0,1.0,51.0,18.0,2.0,26.0,2.0,131.0,3616.0,6217
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,6,LAZARO CARDENAS,284,3,165.0,109.0,16.0,18.0,555.0,38.0,30.0,174.0,120.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,39.0,1273.0,1600
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,6,LAZARO CARDENAS,285,2,102.0,128.0,28.0,14.0,396.0,54.0,31.0,212.0,118.0,3.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,57.0,1156.0,1496
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,6,LAZARO CARDENAS,286,4,246.0,233.0,44.0,40.0,820.0,87.0,46.0,359.0,166.0,3.0,1.0,0.0,0.0,3.0,7.0,3.0,0.0,3.0,6.0,2.0,2.0,0.0,83.0,2154.0,2750
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,6,LAZARO CARDENAS,287,3,134.0,83.0,15.0,37.0,364.0,30.0,49.0,423.0,48.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0,17.0,1.0,2.0,1.0,52.0,1272.0,2032
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,6,LAZARO CARDENAS,288,4,163.0,92.0,45.0,30.0,775.0,37.0,18.0,285.0,52.0,3.0,1.0,1.0,1.0,5.0,3.0,0.0,0.0,5.0,14.0,1.0,5.0,0.0,75.0,1611.0,2087
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,6,LAZARO CARDENAS,289,2,94.0,28.0,28.0,10.0,335.0,31.0,4.0,84.0,20.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,12.0,658.0,843
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,6,LAZARO CARDENAS,290,4,188.0,106.0,37.0,20.0,504.0,66.0,12.0,261.0,126.0,5.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,8.0,11.0,0.0,4.0,0.0,38.0,1396.0,1798
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,6,LAZARO CARDENAS,291,2,110.0,95.0,30.0,10.0,380.0,9.0,7.0,92.0,40.0,3.0,2.0,0.0,0.0,3.0,6.0,0.0,0.0,4.0,7.0,2.0,0.0,0.0,23.0,823.0,984
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,6,LAZARO CARDENAS,292,3,105.0,88.0,73.0,13.0,397.0,69.0,8.0,188.0,109.0,4.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,5.0,0.0,3.0,2.0,41.0,1118.0,1367
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,6,LAZARO CARDENAS,293,3,147.0,68.0,83.0,17.0,430.0,28.0,29.0,373.0,79.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,10.0,13.0,1.0,2.0,0.0,40.0,1330.0,1739
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,6,LAZARO CARDENAS,294,2,90.0,108.0,14.0,14.0,181.0,29.0,16.0,186.0,30.0,1.0,3.0,1.0,0.0,4.0,1.0,0.0,0.0,4.0,9.0,0.0,1.0,0.0,31.0,723.0,921
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,6,LAZARO CARDENAS,295,2,121.0,84.0,52.0,11.0,145.0,21.0,9.0,125.0,44.0,0.0,6.0,1.0,2.0,1.0,5.0,2.0,0.0,2.0,7.0,0.0,4.0,0.0,39.0,681.0,891
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,6,LAZARO CARDENAS,296,3,78.0,63.0,69.0,19.0,345.0,27.0,14.0,142.0,126.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,7.0,2.0,1.0,7.0,0.0,43.0,949.0,1197
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,6,LAZARO CARDENAS,297,1,37.0,39.0,6.0,9.0,242.0,4.0,5.0,81.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,23.0,492.0,548
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,206,16,644.0,469.0,103.0,114.0,104.0,163.0,61.0,2636.0,139.0,23.0,11.0,2.0,2.0,14.0,12.0,6.0,0.0,62.0,32.0,4.0,19.0,4.0,187.0,4811.0,11040
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,668,2,52.0,39.0,11.0,13.0,14.0,19.0,4.0,327.0,18.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,3.0,1.0,1.0,0.0,9.0,525.0,914
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,669,2,48.0,67.0,21.0,11.0,16.0,19.0,6.0,403.0,21.0,5.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,8.0,9.0,0.0,7.0,0.0,34.0,683.0,1120
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,670,1,45.0,31.0,10.0,3.0,14.0,12.0,5.0,248.0,12.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,393.0,676
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,671,2,51.0,24.0,12.0,14.0,18.0,10.0,9.0,309.0,20.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,12.0,501.0,780
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,672,2,77.0,60.0,18.0,7.0,13.0,27.0,14.0,370.0,26.0,3.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,6.0,0.0,1.0,10.0,3.0,24.0,667.0,1183
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,673,2,259.0,48.0,12.0,22.0,7.0,29.0,13.0,290.0,22.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,3.0,20.0,740.0,1383
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,674,3,447.0,80.0,22.0,39.0,26.0,40.0,15.0,481.0,35.0,7.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,32.0,1241.0,2143
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,675,4,241.0,88.0,16.0,41.0,33.0,41.0,25.0,679.0,59.0,10.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,6.0,2.0,3.0,0.0,37.0,1292.0,2304
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,676,2,36.0,34.0,10.0,10.0,15.0,14.0,4.0,315.0,17.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,16.0,486.0,914
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,677,1,27.0,14.0,6.0,4.0,16.0,13.0,4.0,205.0,15.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,0.0,0.0,320.0,624
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,678,2,49.0,49.0,14.0,8.0,13.0,13.0,7.0,326.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,5.0,2.0,3.0,0.0,21.0,537.0,954
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,679,2,52.0,41.0,9.0,11.0,18.0,14.0,7.0,324.0,26.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,1.0,0.0,2.0,20.0,541.0,894
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,680,6,231.0,197.0,39.0,41.0,48.0,61.0,30.0,1260.0,89.0,4.0,3.0,0.0,1.0,7.0,5.0,1.0,0.0,24.0,6.0,0.0,9.0,1.0,71.0,2128.0,3865
3,23,QUINTANA ROO,1,PLAYA DEL CARMEN,8,SOLIDARIDAD,681,7,457.0,196.0,42.0,61.0,57.0,91.0,50.0,1589.0,87.0,11.0,4.0,2.0,1.0,6.0,4.0,0.0,0.0,32.0,11.0,0.0,9.0,8.0,74.0,2792.0,4679
